iter	Passed	Remaining
137	3306	8674
138	3329	8648
139	3352	8620
140	3374	8592
141	3398	8567
142	3425	8551
143	3448	8525
144	3473	8505
145	3498	8481
146	3521	8456
147	3546	8433
148	3571	8413
149	3595	8390
150	3617	8360
151	3643	8342
152	3663	8309
153	3685	8281
154	3704	8244
155	3725	8216
156	3747	8187
157	3776	8174
158	3797	8144
159	3822	8123
160	3845	8097
161	3870	8076
162	3894	8051
163	3916	8024
164	3939	7999
165	3966	7980
166	3989	7955
167	4012	7929
168	4033	7899
169	4055	7871
170	4078	7847
171	4103	7824
172	4127	7802
173	4152	7779
174	4176	7756
175	4198	7728
176	4223	7707
177	4251	7690
178	4274	7665
179	4294	7634
180	4319	7612
181	4341	7586
182	4365	7562
183	4391	7542
184	4416	7520
185	4438	7492
186	4458	7463
187	4485	7444
188	4514	7427
189	4544	7415
190	4572	7397
191	4595	7372
192	4617	7345
193	4642	7323
194	4671	7307
195	4696	7285
196	4721	7261
197	4745	7237
198	4770	7215
199	4793	7189
200	4825	7178
201	4851	7157
202	4882	7143
203	4912	7127
204	4931	7096
205	4956	7073
206	4979	7048
207	5005	7026
208	5034	7009
209	5060	6988
210	5089	6971
211	5115	6949
212	5139	6924
213	5164	6902
214	5190	6880
215	5215	6857
216	5242	6836
217	5273	6821
218	5300	6801
219	5326	6779
220	5352	6756
221	5377	6733
222	5404	6712
223	5432	6693
224	5460	6674
225	5484	6649
226	5511	6628
227	5543	6612
228	5568	6589
229	5595	6568
230	5621	6546
231	5652	6530
232	5678	6507
233	5702	6482
234	5729	6460
235	5755	6438
236	5783	6418
237	5813	6399
238	5844	6382
239	5892	6383
240	5927	6370
241	5955	6349
242	5985	6330
243	6012	6307
244	6038	6284
245	6061	6258
246	6084	6232
247	6110	6209
248	6137	6187
249	6166	6166
250	6188	6139
251	6210	6111
252	6234	6086
253	6262	6065
254	6285	6039
255	6307	6011
256	6329	5984
257	6355	5961
258	6379	5935
259	6405	5912
260	6428	5886
261	6450	5859
262	6474	5834
263	6495	5806
264	6517	5779
265	6539	5752
266	6561	5725
267	6580	5696
268	6604	5671
269	6629	5646
270	6650	5619
271	6674	5594
272	6700	5571
273	6727	5549
274	6753	5525
275	6773	5497
276	6795	5470
277	6817	5444
278	6838	5416
279	6866	5394
280	6889	5369
281	6911	5342
282	6933	5316
283	6957	5291
284	6978	5264
285	7008	5244
286	7036	5222
287	7060	5197
288	7084	5172
289	7111	5149
290	7138	5126
291	7162	5102
292	7186	5076
293	7210	5052
294	7243	5033
295	7270	5010
296	7303	4992
297	7334	4971
298	7359	4947
299	7386	4924
300	7418	4904
301	7450	4884
302	7474	4859
303	7502	4837
304	7527	4812
305	7550	4786
306	7581	4766
307	7609	4743
308	7637	4720
309	7668	4700
310	7694	4676
311	7718	4650
312	7746	4628
313	7769	4602
314	7799	4580
315	7828	4558
316	7856	4535
317	7884	4512
318	7908	4487
319	7937	4464
320	7965	4441
321	7998	4421
322	8031	4401
323	8057	4377
324	8080	4351
325	8103	4325
326	8127	4300
327	8152	4275
328	8175	4249
329	8203	4225
330	8230	4202
331	8258	4178
332	8282	4153
333	8308	4129
334	8333	4104
335	8357	4079
336	8383	4054
337	8410	4031
338	8432	4004
339	8454	3978
340	8480	3954
341	8503	3928
342	8529	3904
343	8554	3879
344	8582	3855
345	8607	3831
346	8635	3807
347	8659	3782
348	8682	3756
349	8708	3732
350	8739	3709
351	8764	3684
352	8794	3662
353	8819	3637
354	8845	3612
355	8871	3588
356	8900	3565
357	8922	3539
358	8949	3515
359	8971	3488
360	9002	3466
361	9027	3441
362	9052	3416
363	9080	3392
364	9102	3366
365	9132	3343
366	9160	3319
367	9185	3294
368	9209	3269
369	9231	3243
370	9254	3217
371	9283	3194
372	9309	3169
373	9338	3146
374	9366	3122
375	9393	3097
376	9420	3073
377	9444	3048
378	9469	3023
379	9501	3000
380	9525	2975
381	9545	2948
382	9578	2926
383	9601	2900
384	9625	2875
385	9655	2851
386	9678	2825
387	9707	2802
388	9737	2778
389	9763	2753
390	9788	2728
391	9816	2704
392	9846	2680
393	9878	2657
394	9903	2632
395	9927	2607
396	9955	2582
397	9978	2557
398	10004	2532
399	10028	2507
400	10057	2482
401	10083	2458
402	10110	2433
